200 3
1 3 2 
7 9 1
7 10 3
10 14 3
7 10 2
21 1 2
16 20 1
22 3 1
12 14 3
5 8 2
3 6 1
7 9 2
8 12 2
0 4 1
11 15 1
11 13 2
17 20 1
12 15 1
6 10 2
10 14 1
6 9 3
23 4 1
14 16 3
22 0 1
12 15 3
2 3 3
7 10 3
14 17 2
17 21 2
11 15 3
16 19 2
19 21 1
22 0 1
9 13 2
23 0 1
22 0 1
17 21 3
8 11 1
17 20 3
14 16 2
0 3 3
22 1 3
20 23 3
5 7 3
21 1 3
6 9 2
16 18 1
18 21 2
16 19 2
2 5 3
2 5 3
23 2 3
17 20 2
20 0 3
17 20 1
23 1 1
1 4 3
0 2 3
20 22 1
3 6 3
18 21 2
22 0 1
16 17 1
14 18 3
15 19 1
2 5 1
2 6 3
0 2 3
23 3 2
20 21 3
6 11 3
17 19 3
12 17 3
20 22 3
12 15 1
19 0 3
23 1 1
8 12 2
8 12 1
16 19 3
7 9 1
10 14 1
4 7 1
1 3 3
19 21 2
5 8 2
14 17 3
16 19 2
19 23 2
7 9 1
3 6 3
5 9 2
6 8 1
16 20 3
2 6 3
3 5 2
4 6 3
3 5 1
11 15 3
2 5 1
18 21 2
18 21 3
3 5 3
15 19 3
7 11 3
3 6 1
20 0 1
12 14 1
13 16 2
3 7 3
1 3 3
15 17 2
16 18 2
16 19 1
13 16 1
9 11 3
2 5 3
4 6 1
11 13 2
23 3 3
17 21 1
22 3 2
23 2 3
10 12 1
4 8 3
14 17 3
22 1 2
6 8 3
9 14 2
14 16 2
1 3 2
10 13 1
13 16 2
22 23 2
8 12 2
7 10 2
1 5 3
5 7 3
18 18 2
17 20 1
9 14 2
11 13 3
9 13 1
10 13 2
6 7 1
16 18 1
10 13 1
11 14 3
8 9 1
22 23 2
8 12 2
20 0 2
13 17 2
13 15 1
4 7 2
20 23 2
4 9 1
9 11 2
19 21 1
9 11 2
0 3 1
3 7 2
6 9 3
20 23 2
16 18 3
3 7 3
0 3 1
16 19 2
11 14 1
17 20 1
3 6 1
22 2 3
20 0 2
17 18 1
9 12 3
20 23 1
9 13 2
8 12 1
16 20 3
16 19 1
14 17 3
22 2 3
3 7 2
4 6 1
4 7 1
1 4 3
10 13 1
10 11 3
0 3 2
9 13 2
22 1 2
20 23 3
19 21 3
0 3 1
16 19 2
3 6 2
0 3 1
16 18 3
0 1 2
17 19 1
16 18 2
