90 3
2 3 1 
1 4 1
8 11 1
20 23 2
14 18 1
1 5 3
16 19 3
3 5 2
11 14 2
4 5 1
8 11 3
6 9 2
19 21 3
20 23 2
0 3 2
4 7 2
19 21 2
20 23 2
10 14 3
3 6 1
17 21 1
23 2 1
4 8 3
5 8 1
3 6 3
6 9 3
9 12 2
2 4 2
5 6 1
20 0 1
5 9 1
7 9 1
9 12 1
9 13 2
11 14 2
14 16 1
12 15 2
1 4 3
17 21 1
13 16 2
13 16 1
16 17 3
23 2 2
18 19 3
12 14 3
13 15 3
15 19 1
6 8 3
4 7 2
7 9 2
12 14 1
5 8 3
18 20 1
9 11 3
18 20 2
4 7 2
16 19 1
1 4 2
9 11 2
0 4 1
16 20 1
2 4 1
5 10 2
1 4 1
20 23 3
18 21 2
11 13 3
22 2 3
8 11 2
5 6 3
11 13 2
22 2 3
11 13 3
3 8 3
3 6 2
3 6 3
5 7 3
6 8 3
5 7 1
8 10 2
3 5 1
8 13 1
15 19 1
1 5 2
23 2 3
8 9 3
7 9 1
1 2 1
16 20 2
19 0 1
5 9 1
