70 3
1 3 3 
15 17 3
2 4 3
2 6 2
10 14 2
0 3 2
19 22 1
10 14 1
8 11 1
11 14 3
7 9 1
17 19 1
9 13 3
21 22 1
19 22 1
22 1 1
11 15 1
0 3 2
17 20 1
15 18 2
16 20 2
10 13 3
22 1 2
11 15 2
16 18 1
4 9 3
2 5 3
18 23 2
19 21 2
21 0 1
16 20 2
17 20 2
7 10 3
16 19 3
8 11 2
12 14 3
2 5 2
5 8 1
12 15 2
20 1 1
9 13 2
16 18 3
0 3 2
17 19 2
8 11 3
5 6 2
17 20 2
6 9 3
3 7 2
17 20 3
14 17 3
11 13 2
2 7 2
10 9 3
3 5 3
21 22 2
20 22 2
5 9 2
2 5 2
11 14 2
18 21 2
18 20 3
14 16 3
15 19 2
13 16 2
13 15 2
16 18 3
17 20 3
21 0 3
16 20 2
12 15 1
