80 3
3 3 2 
0 4 2
20 22 2
5 7 3
1 2 1
21 0 3
2 5 3
17 20 3
20 23 2
13 16 2
20 0 2
11 14 2
4 6 3
0 2 2
11 14 3
10 13 1
14 16 2
21 23 3
1 4 3
1 4 2
19 22 1
6 8 2
12 16 1
19 22 1
23 2 1
16 17 3
5 8 1
9 12 1
5 8 2
10 13 3
21 0 3
6 8 3
6 8 2
21 23 3
8 12 3
23 1 2
11 16 1
9 12 3
3 5 2
1 1 2
16 18 1
23 2 2
14 18 2
6 8 3
21 22 2
19 23 1
18 22 2
11 15 2
20 1 2
22 2 2
23 3 1
8 11 2
14 17 2
9 12 2
8 11 3
7 11 3
10 13 1
13 16 1
16 19 3
18 21 1
23 1 2
8 8 1
21 0 2
12 15 3
7 8 1
8 10 1
0 3 3
16 18 3
7 10 3
6 8 3
3 6 2
14 17 3
2 6 1
8 12 2
7 9 2
21 23 1
10 11 1
5 7 2
15 21 3
23 1 3
13 15 2
