70 3
2 3 1 
0 3 1
1 5 3
22 2 2
20 0 1
11 14 3
4 6 2
13 16 1
4 6 3
14 16 3
3 6 3
16 20 2
21 0 3
22 1 2
4 5 3
15 19 2
16 20 1
19 0 2
5 8 2
22 3 3
21 0 1
5 8 2
16 18 2
2 4 2
8 9 1
18 21 2
13 16 2
20 22 2
23 2 1
11 13 1
2 5 2
0 4 2
18 20 1
11 13 2
8 11 3
20 23 1
3 5 1
17 20 1
23 0 1
12 15 2
16 19 1
2 4 3
6 7 3
23 1 3
2 5 1
10 13 3
18 19 3
11 14 1
9 12 1
16 20 2
4 6 2
17 19 2
5 8 3
10 13 2
21 22 2
22 1 1
9 11 1
22 2 2
19 22 1
1 5 2
1 4 1
9 10 2
4 6 1
19 22 3
4 6 2
20 23 2
15 18 1
7 12 2
19 23 2
14 17 2
13 19 2
