80 3
1 1 2 
17 21 1
13 16 3
19 21 2
19 23 2
0 2 2
6 9 2
23 2 3
10 12 3
1 3 2
20 0 2
14 17 3
9 12 2
0 2 3
16 19 1
11 15 3
9 13 2
21 1 1
19 23 3
23 1 2
11 14 3
15 18 1
6 9 1
21 0 2
18 19 2
0 2 2
13 16 1
19 23 2
7 11 1
15 18 2
12 15 3
1 5 3
19 23 1
15 18 1
2 5 1
7 10 1
22 0 3
14 19 1
6 10 2
17 17 2
23 2 1
16 19 1
10 12 3
19 21 2
12 16 3
12 14 1
7 10 1
10 14 1
5 6 3
11 14 3
18 21 2
14 18 2
18 20 3
17 20 1
20 23 2
23 1 3
16 19 3
15 18 2
9 12 3
1 4 1
1 5 1
5 8 2
19 23 2
2 5 2
13 17 1
4 8 1
19 0 2
17 19 3
2 5 1
23 1 1
10 14 1
15 19 2
16 18 2
10 13 1
1 2 2
5 7 1
10 15 2
10 12 2
3 6 3
20 23 2
3 6 1
