90 3
1 2 1 
7 11 2
7 10 2
2 8 1
13 17 1
0 4 3
14 17 1
5 7 1
20 22 2
10 13 3
3 7 3
22 1 3
10 13 1
18 22 1
7 7 1
12 16 1
2 6 1
13 16 1
9 9 2
2 4 1
0 4 3
9 11 3
15 17 2
6 8 2
12 16 3
10 13 3
9 12 3
18 21 2
21 2 1
21 1 1
3 8 1
15 17 1
8 10 2
8 11 1
0 4 3
22 0 1
12 14 3
18 21 3
5 7 3
1 6 1
16 18 2
9 13 3
18 21 1
16 19 3
4 6 3
18 22 2
11 15 3
8 10 3
11 14 1
1 3 3
10 12 3
13 17 1
22 0 1
7 10 3
4 6 2
5 5 3
4 7 1
11 13 3
5 9 3
23 2 1
22 1 2
10 13 1
7 11 3
19 22 1
23 3 3
22 2 3
16 19 3
7 12 3
17 20 2
2 6 3
21 0 1
15 17 1
20 22 1
20 23 1
2 6 3
18 21 1
18 21 2
18 21 3
19 20 3
3 7 1
4 7 2
23 1 3
5 7 3
16 20 3
17 21 3
16 18 2
3 5 3
18 22 2
18 20 2
21 0 3
8 12 2
