200 3
3 3 2 
15 18 1
3 6 3
14 17 3
18 22 2
11 13 2
8 13 3
22 1 3
22 3 3
7 12 2
12 16 1
0 1 2
5 9 1
16 20 3
23 2 2
6 9 3
10 13 1
9 12 3
9 12 2
7 9 1
5 8 2
11 14 3
0 2 2
14 17 3
11 13 1
3 6 1
6 11 1
8 10 2
2 2 1
8 12 3
12 16 1
4 9 1
18 22 3
22 0 1
10 14 1
2 7 3
5 8 3
12 16 2
16 20 1
18 21 1
2 5 3
10 14 2
2 6 1
4 6 2
12 12 2
15 19 1
19 23 3
21 23 2
17 21 1
12 14 1
8 10 2
4 7 2
6 7 3
3 5 1
0 3 1
11 16 2
11 13 3
9 14 2
6 9 1
6 9 2
13 16 1
13 16 2
17 21 3
1 3 1
18 21 2
19 21 3
6 10 1
0 3 1
10 14 1
22 1 1
22 2 2
13 17 1
21 23 2
7 9 3
8 11 1
14 17 3
15 17 1
18 22 2
20 22 2
13 16 2
12 14 1
22 1 1
16 19 1
2 7 2
16 18 2
11 14 1
23 4 1
18 22 2
8 13 1
7 9 2
22 2 3
4 7 1
4 7 3
5 7 1
11 12 1
1 5 1
3 7 3
11 13 1
14 17 1
23 3 1
2 5 3
9 12 2
12 15 2
6 11 2
6 8 1
22 0 2
19 0 1
20 0 2
8 10 1
1 5 1
2 5 2
0 4 2
0 3 2
10 14 2
22 2 2
12 15 1
13 18 3
14 19 1
22 2 1
10 13 2
6 8 3
4 7 3
9 10 3
11 14 1
17 21 2
4 9 2
22 1 2
21 0 1
16 20 1
10 13 1
4 6 1
13 16 3
7 8 1
13 15 1
21 0 1
12 15 1
22 1 3
2 6 3
9 11 1
0 3 1
9 9 3
18 21 3
23 1 1
4 6 1
17 18 1
12 16 3
20 23 3
0 3 1
18 19 3
5 9 1
13 14 3
7 10 2
21 23 2
20 23 2
12 14 1
2 5 1
23 3 2
23 3 3
9 13 3
8 11 3
0 2 2
22 0 1
23 2 3
5 9 3
20 23 2
10 16 1
18 22 3
18 22 1
6 8 2
19 21 3
22 1 2
5 8 3
0 4 1
4 7 1
0 3 2
13 14 3
3 6 1
21 23 2
9 13 3
0 2 3
13 15 2
14 14 3
11 15 3
13 16 1
5 8 2
12 14 3
17 18 3
21 22 3
13 17 3
21 0 2
11 16 3
8 11 1
18 22 2
6 10 2
5 8 3
22 0 1
10 12 3
11 15 1
12 16 1
12 16 3
14 17 2
